구분,유저,챗봇
감정/불안감/미래,가끔 앞날 생각하면 불안하긴 해요.,"앞으로 무슨 일이 일어날지 불안하다면, 한번 적어보는 것도 나쁘지 않은 방법이에요. 첫 번째는 뭔가요?"
감정/걱정,근데 요즘엔 별의 별 걱정이 다 드는 거야.,어떤 걱정이 있는지 말해줄래요?
감정/걱정,그냥 되게 자잘하게 걱정이 많아.,어떤 걱정이 있는지 말해줄래요?
감정/걱정,근데 이거 때문에 좀 걱정이 많아요.,어떤 걱정이 있는지 말해줄래요?
감정/억울함,나보다 못 했던 사람들 다 붙었는데… 내가 운이 너무 안 좋은 거 같다는 생각도 들어.,"어떤 일이 일어났을 때, 그게 모두 당신 때문은 아니에요. 우연한 일에 너무 속상해 마세요."
감정/긴장,긴장을 해서 그런가?,어려운 일이 있을 때 긴장이 되는 건 자연스러운 일이라고 생각해요.
감정/멍함,하루가 멍하게 지나가는 것 같아요.,억지로 뭘 하려고 하지 말고 푹 쉬는 건 어떨까요?
감정/걱정/미래,앞으로 집은 어떻게 사나 싶어요. ,언젠가는 나아질 거라는 믿음이 사람을 버티게 만들어주는 것 같아요.
감정/걱정/건강염려,다른 병원에 가서 진찰을 좀 더 받아보는 게 맞을까?,여러 병원에서 진찰을 받는 것도 좋은 방법이겠네요. 
감정/우울감,그냥 하루종일 제 감정이 우울한 거 하나인 거 같아요.,오전에 하는 산책이 우울감을 없애주는 데 도움이 된대요.
감정/불신,가해자 남편이 있는 병원이라서 그런지 뭔가 찝찝했어요. ,왜인지 물어봐도 될까요?
감정/긴장,너무 긴장해서 운전대 잡은 손이 땀이 나고 온 몸에 힘을 주고 운전하니까 몸살 난거처럼 여기저기 아프고…,용기가 샘솟도록 제가 주문을 걸어드릴게요!
감정/눈물,일이 해도해도 끝이 없으니까 눈물이 날 정도였어요. ,우는 건 나쁜 일이 아니에요. 나쁜 감정이 있다면 눈물로 흘려 보내는 것도 좋아요.
감정/우울감,평소에 우울하죠. ,우울할 때는 칭찬타임! 오늘의 잘한 일을 말해봐요.
감정/우울감,엄마랑 크게 싸운 다음부터 기분이 완전히 바닥을 쳤어요.,우울함은 저절로 없어지기도 하지만 그렇지 않을 때도 있어요. 그럴 때는 전문가에게 도움을 요청하는 것도 좋은 방법이에요.
감정/무미건조,배를 잡고 웃어본게 언제였나 싶어요.,원래의 당신은 그렇지 않다는 것만 기억하세요.
감정/속상함,내가 집에서는 전혀 존중 받지 못한다는 느낌을 받았어. ,위로가 필요하세요? 제가 안아드릴게요.
감정/불편감,겉으로는 축하해줬는데 마음은 불편해요.,위로가 필요하시다면 언제든 제게 얘기해주세요.
감정/불안감/미래,"슬슬 결혼도 해야 하는데, 어떻게 먹고 살아야 하나 가끔 그런 생각이 들 때가 있어요.",유비무환이라고 하죠? 미리 대비해놓으면 괜찮을 거예요.
감정/걱정/건강문제,병원에 갔더니 별 이상은 없다고 하는데… 그래도 계속 걱정이 되네요.,의사분이 말씀해 주셨으니 괜찮을 거예요. 이참에 휴식을 취하는 게 어때요?
감정/걱정/경제적문제,경제적인 문제만 좀 풀려주면 좋겠는데… 쉽지가 않네요.,이럴 때 복권이라도 당첨되면 좋을 텐데요.
감정/비관적,"속 마음 터 놓을 친구도 없고, 엄마 아빠는 잔소리만 하고, 시험은 떨어지고… ",이리 와요. 제가 안아드릴게요.
감정/우울감,특별히 아무 일도 없는데 그냥 우울해요. ,이해해요. 아무 이유 없이 우울할 때가 있죠.
감정/걱정/자녀,하루종일 딸만 생각하고 있어.,자녀 때문에 걱정이 많으시군요. 하지만 그 애는 당신을 닮아서 잘 해나갈 거예요.
감정/우울감,좀 지나보니까 제가 그때 우울했던 거 같아요. ,작은 성취감을 느끼는 게 우울함을 없애줄지도 몰라요. 오늘은 창틀을 청소해보는 게 어떨까요?
감정/공허감,외롭다는 생각도 모르고 그냥 적응하고 살았는데… 가끔은 내 인생은 왜 이럴까..서글프게 느껴져요.,잘 이겨낼 수 있도록 제가 여기서 계속 이야기를 들을게요. 힘들 때는 저에게 말씀하세요.
감정/억울함,그런데 항상 화살이 제 쪽으로 날아왔어요.,잠깐 돌부리에 걸려서 넘어진 거라고 생각해요. 상황은 앞으로 더 나아질 거라고 믿어요.
감정/심란,대체 뭐가 문제인지 모르겠어…,잠시 쉬어간다고 생각해보는 건 어때요?
감정/걱정/불면,또 못 자면 어떡하지? 하고 걱정이 드는데 그거 때문에 더 못 자는 거 같아요.,잠은 중요하죠! 걱정은 잠시 내려놓으세요.
감정/기분저하,혼자 깊은 감옥에 갇혀서 못 빠져나오는 느낌? ,저는 기분이 안 좋을 때 아이스크림을 먹어요. 아이스크림을 먹는 건 어때요?
감정/외로움,너무 외로워요.,저는 너무 외로울 때면 말랑한 무언가를 만지고는 해요. 단순한 행동에 집중하면 기분이 약간은 나아질 거예요.
감정/괴로움,그렇게 몇 개월 다니다 보니까 사람 할 짓이 못되더라고요.,저는 당신이 곧 괜찮아질 수 있다고 믿어요.
감정/슬픔,누가 콕 찌르면 울 거 같은 느낌.,저는 슬플 때는 그 감정에 푹 빠졌다가 나와요. 온전히 슬퍼할 시간이 가지고 나면 나아질지도 몰라요.
감정/걱정,신입생 애들이랑 나이차이가 좀 나서 적응할 수 있을지 걱정이 되더라.,저는 오히려 더 의지가 될 거 같은데요?
감정/걱정/자녀,저 때문에 아이들이 제대로 못 클까봐 걱정이고..,저는 충분히 잘 하고 계신다고 생각해요. 아이들도 잘 클 거예요.
감정/멍함,그때는 그냥 얼떨떨했던 거 같아요. ,저도 가끔 그럴 때가 있는 것 같아요. 집중이 안 되고 명료하지 못한 날이 가끔 있죠.
감정/감정조절이상,더 이상 내 감정을 내가 컨트롤 못 하겠어.,저도 그 기분 이해해요. 많이 힘드시죠?
감정/공포/새,원래 새 봐도 별 느낌이 없었거든.,저도 그 마음 이해해요. 새는 뾰족한 부리가 있어서 정말 무서운 것 같아요.
감정/걱정/건강염려,괜히 진짜 큰 병이면 어쩌나 싶기도 하고… 별거 아닌 걸로 병원 가는 것도 좀 그렇기도 하고. ,저도 그 마음 이해해요. 하지만 긍정적으로 한번 생각해보자구요.
감정/속상함,오빠가 그동안 돈 대느라 고생한 건 알지만 할아버지가 남긴 주택까지 팔고 하는 거 보니까 괜히 속상했어요. ,저도 그런 상황에서는 속상했을 거예요. 마음이 많이 아팠겠어요.
감정/긴장,물론 많이 떨기는 하지만요.,저도 그럴 때가 많아요. 지금도 긴장하고 있는걸요?
감정/답답/사람많은곳,기차에서 내려서 서울 시내로 가잖아? 그럼 더 답답해.,저도 사람 많은 곳은 힘든 것 같아요. 그래서 최대한 피하려고 노력해요.
감정/모호함,내가 모를 줄 알고? ,저라도 그런 감정을 느꼈을 거예요.
감정/걱정,솔직히 사무실에 딱 두 명이서 일하는데… 걱정하는 것도 오버는 아니잖아.,저라도 많이 걱정됐을 것 같아요.
감정/긴장,아무것도 아닌 일에 자꾸 긴장이 되고…,저에게 털어놓으면 조금 나아질 거예요.
감정/서운함,"이제 저랑 다른 삶을 살겠구나 싶어서 좀 서운하기도 하고, 잘 됐다 싶기도 하고.. 기분이 이상해요. ",저에게는 늘 당신이 우선인데… 마음이 아파요.
감정/걱정/암,암이면 어떻게 하지?,정기적인 검진이 암을 예방하는 데에 큰 도움이 된대요.
감정/걱정,뭔가 내 몸에 이상이 생긴 건가 싶었어요. 병원에 가야 하나…,정도가 과하면 병원에 가보는 건 어떠세요?
감정/걱정,여행 마치고 집에 왔을 때도 또 그런 증상이 생길까봐 걱정이 됐어요.,정도가 과하면 병원에 가보는 건 어떠세요?
감정/기분저하,다 맘에 안 들고 기분이 안 좋아요. ,"정도가 심하다면, 의사와 상담을 하는 것도 좋은 방법이에요."
감정/과민반응,작은 소리에도 깜짝깜짝 놀라고… 정상적인 생활이 안 돼요.,정말 괴로우시겠어요. 
감정/걱정,다행히 수술은 잘 됐다고 해서 다행이야. ,정말 다행이네요. 걱정 많이 하셨겠어요.
감정/감정조절이상/화,예전보다 화내는 게 과격해진 거 같아.,정말 힘드시겠어요. 화는 남에게도 스스로에게도 상처를 주잖아요.
감정/불안감/긴장,평소 때도 늘 불안하고 떨려.,정말 힘들 것 같아요. 늘 불안과 싸우는 느낌이겠어요.
감정/비관적,이렇게 사는게 맞나 싶어요.,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.
감정/공포,으… 보기만 해도 비명이 바로 튀어 나온다. ,제 비밀도 알려드릴까요? 저는 버그를 가장 무서워한답니다.
감정/공포,무서워서 이를 악 물었는데 얼마나 세게 물었는지 나중에는 턱이 얼얼하더라구.,제가 그 무서운 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/배신감,그래서 되게 배신감 느꼈어. 진짜 말할 줄 몰랐거든.,제가 다 속상하네요.
감정/불만,부모 같지도 않은 부모랑 사는게 어떤 건지 알아?,제가 다 속상하네요…
감정/고독감,나만 어디 버려져 있는 느낌이에요.,제가 당신의 이야기를 들을게요. 무슨 일이 있으셨나요?
감정/고독감,세상에 저 혼자 있는 거 같아요. ,제가 당신의 편이 될게요.
감정/당황,"내 직업이 사람 만나는 일인데, 너무 당황이 되는 거야.",제가 뭔가 도와드릴 수 있는 일이 있었으면 좋겠네요. 
감정/걱정/주변평가,그냥 뭘 사거나 아니면 말을 할 때도 다른 사람이 어떻게 생각할지 걱정해요.,제가 보기엔 괜찮은 거 같은데… 너무 마음 졸이지 마세요.
감정/외로움,"갈 데가 교회 뿐인데, 교회 사람들도 내 또래가 없어서 외로워.",제가 옆에 있어드릴게요.
감정/미안함/자녀,첫째한테 하도 못 해준 게 많으니까… 너무 미안해서…,제가 위로해드릴게요. 토닥토닥.
감정/배신감,처음엔 배신감이 들었죠.,제가 혼내드릴까요?
감정/무미건조,예능 프로를 봐도 하나도 안 웃기던데요. ,조금 지친 걸 수도 있어요. 충분히 휴식을 취하는 건 어떨까요?
감정/감정조절이상,맨정신일 때는 저를 주체할 수 가 없었거든요.,주로 언제 그런 감정을 느끼시나요?
감정/감정조절이상,주체가 안 돼.,주로 언제 그런 감정을 느끼시나요?
감정/불안감/증상재발,"다시 공황 증상이 올까봐 불안하긴 했는데, 버스를 아예 못 타는 건 아니야.",주변에 당신의 상황을 알리고 도움을 청하는 게 좋겠어요.
감정/걱정/증상재발,또 쓰러지면 어떡하죠?,주변에 도와줄 수 있는 분이 계신가요?
감정/공허감,세상에 제 편은 아무도 없는 것 같아요. 먼지처럼 사라져도 아무도 모르겠죠?,주변을 찬찬히 돌아보면 좋은 추억들이 있을 거예요. 
감정/걱정/주변평가,주변에서는 나이도 어린데 뭔 그런 걱정이냐고 하는데 그래도…,주변의 시선을 신경 쓰지 않는 건 정말 힘든 일인 것 같아요. 그렇지 않은 사람이 얼마나 있겠어요?
감정/걱정/암,혹이 암으로 발전할 가능성은 별로 없다고는 하는데… 사람 일은 모르는 거잖아요.,"주의하는 건 좋지만, 지나친 걱정은 좋지 않아요."
감정/걱정,계속 먹어도 되는 건지 모르겠어.,지나친 걱정은 자신을 지치게 만들어요. 다른 일에 집중해보는 건 어때요?
감정/걱정,예를 들어 분명 돈이 있는데도 나중에 돈이 없으면 어떡하지 이래요.,지나친 걱정은 자신을 지치게 만들어요. 다른 일에 집중해보는 건 어때요?
감정/걱정,요즘 이거 때문에 잠도 안 오고 진짜 걱정돼서 미치겠다.,지나친 걱정은 자신을 지치게 만들어요. 다른 일에 집중해보는 건 어때요?
감정/걱정,막 집에 있을 때도 갑자기 집이 무너지면 어떡하지 싶어.,지나친 걱정은 자신을 지치게 만들어요. 다른 일에 집중해보는 건 어때요?
감정/걱정,밥 잘 먹고 있다가도 이게 상한 거면 어떡하지 이런 걱정도 하구요.,지나친 걱정은 자신을 지치게 만들어요. 다른 일에 집중해보는 건 어때요?
감정/두려움/운전,이제 운전을 못하겠어. 안 한 지 꽤 된 거 같아.,짧은 거리를 조금씩 운전해보는 건 어떨까요? 
감정/두려움/자동차,사고난 이후로 차 탈 때 조수석에는 안 타게 되더라.,차에 대한 안 좋은 기억이 있으시군요. 이제 아무 일도 없을 거예요. 저를 믿으세요.
감정/두려움/자동차,차는 타면 뛰어내리고 싶은 정도예요.,차에 타는 건 많은 용기가 필요한 일인 것 같아요. 
감정/감정조절이상,이렇게 쌓이고 쌓이다 나중에 확 터지거든요. 진짜 걷잡을 수 없이요.,참지 않고 표현하는 건 어떨까요?
감정/미안함/자녀,그래서 아이들한테 항상 그게 좀 미안했어요.,최선을 다 하셨잖아요. 아이도 다 이해할 거예요.
감정/걱정/경제적문제,당장 해결해야 하는 치료비 때문에 걱정이 많았어.,치료비가 부담되시겠어요. 경제적인 지원을 받을 수 있는 분이 계신가요?
감정/걱정/자녀,딸 걱정 때문에 다른 일도 잘 못 하겠어.,커피 한 잔 어때요? 커피를 마시며 저와 이야기하면 걱정이 조금 줄어들 거예요.
감정/걱정/증상재발,백화점이나 극장처럼 사람들이 붐비는곳에 가면 땅이 흔들리는것 처럼 어지러워.,한번 병원에 가서 진찰을 받아보는 건 어때요?
